input_id,resolved_siret,official_name,confidence_score,match_method,alternatives,found_website,found_address,found_phone,found_email,country,city,postal_code,search_method,error
40DUCAYTRPS0,,,0.0,NOT_FOUND,[],,,,,,,,,
40DUMONT TRP,,,0.0,NOT_FOUND,[],,,,,,,,,
40DYNA000000,,,0.0,NOT_FOUND,[],,,,,,,,,
40DYNAMIS000,42429866900096,GROUPE DYNAMIS,1.0,DIRECT_ID,[],,,,,,,,,
40DYSPRINT00,88129151200013,LYSINT,0.95,STRICT_LOCAL,[],,,,,,,,,
40EASY000000,,,0.0,NOT_FOUND,[],,,,,,,,,
40ECOCER0000,43396818700016,ECOCERT FRANCE,1.0,DIRECT_ID,[],,,,,,,,,
40ECOEM00000,,,0.0,NOT_FOUND,[],,,,,,,,,
40ECOVADIS00,49784291400051,ECOVADIS,1.0,CALCULATED,[],,,,,,,,,
40EDEIS00000,44464953700057,EDEIS INGENIERIE,1.0,DIRECT_ID,[],,,,,,,,,
40EDELVI0000,,,0.0,NOT_FOUND,[],,,,,,,,,
40EDENKIA000,78419529900143,INDEXEO,1.0,DIRECT_ID,[],,,,,,,,,
40EDENRED000,,,0.0,NOT_FOUND,[],,,,,,,,,
40EDITIONSLE,,,0.0,NOT_FOUND,[],,,,,,,,,
40EIFFAGE000,42054064300251,EIFFAGE ENERGIE SYSTEMES - ILE DE FRANCE,1.0,DIRECT_ID,[],,,,,,,,,
40ELECTRICIT,49278553000030,ELECTRICITE GARDOISE,0.95,STRICT_LOCAL,[],,,,,,,,,
40ELIPS00000,,,0.0,NOT_FOUND,[],,,,,,,,,
